question,image,option1,option2,option3,option4,answer
"A number series is given with one term missing. Choose the corrected alternative so that it will have same pattern and fill in the blank spaces.
2, 3, 5, 7, 11, ?, 17",,12,13,14,15,B
"A number series is given with one term missing. Choose the corrected alternative so that it will have same pattern and fill in the blank spaces.
4, 8, 16, 13, 7, 14, ?, ?",,"8, 16","9, 18","5, 10","18,16",B
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
(2,3), (3,5), (5,7), (7,11), (11,13),…",,"(13,15)","(15,16)","(13,17)","(13,19)",C
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
In the series 2, 6, 18, 54,…, what will be the 8th term?",,4370,4374,7443,7434,B
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
ELFA, GLHA, ILJA, ?, MLNA",,OLPA,KLMA,LLMA,KLLA,D
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
If '-' means '÷', ‘÷’ means '-', '+' means ‘x’ and 'x' means '+', then 12 - 4 x 7 + 8 ÷ 5 = ?",,51,45,34,None of these,D
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
If '+' means '-', ‘-’ means 'x', 'x' means ‘÷’ and '÷' means '+', then 12 x 4 ÷ 12 + 5 - 3 = ?",,4,15,30,None of these,D
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
If 'when' means 'x', ‘you’ means ‘÷', 'come' means ‘-’ and 'will' means '+', then what will be the value of “8 when 12 will 16 you 2 come 10”?",,45,86,72,94,D
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
If 'p' means '-', ‘q’ means ‘+', 'r' means ‘÷’ and 's' means 'x', then 16 p 4 q 5 s 8 r 2 = ?",,-8,32,20,12,B
"a number series is given with one term missing. Choose the corrected alternative that will have same pattern and fill in the blank spaces.
If '+' means 'x', ‘-’ means '÷', 'x' means ‘-’ and '÷' means '+', then 2 + 15 ÷ 15 - 3 x 8 = ?",,43,27,35,28,B
"In a family, each daughter has the same number of brothers as she has sisters and each son has twice 
as many sisters as he has brothers. How many sons are there in the family?",,2,3,4,5,B
Ayush was born two years after his father's marriage. His mother is five years younger than his father but 20 years older than Ayush who is 10 years old. At what age did the father get married?,,23 years,25 years,33 years,35 years,A
"A student got twice as many sums wrong as he got right. If he attempted 48 sums in all, how many did he solve correctly?",,12,16,18,24,B
"In a group of cows and hens, the number of legs are 14 more than twice the number of heads. The number of cows is",,5,7,10,12,B
"A fires 5 shots to B's 3 but A kills only once in 3 shots while B kills once in 2 shots. When B has missed 27 times, A has killed",,30 birds,60 birds,72 birds,90 birds,A
